source,mode,threshold,reference_steps,R_final,t0.25,t0.5,t0.75,t0.9
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.5,256,31,16.0,34.0,58.0,60.0
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.75,256,16,20.0,62.0,,
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.1,128,31,12.0,26.0,40.0,46.0
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.1,256,31,10.0,24.0,38.0,46.0
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.25,128,31,16.0,32.0,46.0,52.0
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.25,256,31,14.0,28.0,44.0,52.0
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.5,128,31,22.0,60.0,64.0,64.0
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.5,256,31,16.0,34.0,56.0,60.0
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,reverse_ordered_sweep_seed101,0.75,256,16,20.0,60.0,,
results/prebeam/scout/depth32_seed0,sync,0.1,128,31,14.0,30.0,46.0,54.0
results/prebeam/scout/depth32_seed0,sync,0.1,256,31,14.0,28.0,44.0,54.0
results/prebeam/scout/depth32_seed0,sync,0.25,128,31,18.0,34.0,52.0,60.0
results/prebeam/scout/depth32_seed0,sync,0.25,256,31,16.0,32.0,50.0,60.0
results/prebeam/scout/depth32_seed0,sync,0.5,128,15,24.0,,,
results/prebeam/scout/depth32_seed0,sync,0.5,256,24,18.0,38.0,64.0,
results/prebeam/scout/depth32_seed0,sync,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,sync,0.75,256,15,22.0,,,
